"organization","db_pats","ttl_pats","frac_db_pats"
"INTERNATIONAL BUSINESS MACHINES CORPORATION",743,150818,0.005
"Microsoft Technology Licensing, LLC",321,47743,0.007
"Oracle International Corporation",166,8336,0.02
"AT&T Intellectual Property I, L.P.",93,16621,0.006
"SAP SE",91,3844,0.024
"EMC IP Holding Company LLC",73,9796,0.007
"Amazon Technologies, Inc.",68,15802,0.004
"LUCENT MEDICAL SYSTEMS, INC.",55,9434,0.006
"AS America, Inc.",54,4320,0.012
"CISCO TECHNOLOGY, INC.",53,16856,0.003
"AT&T Technologies Incorporated",52,4755,0.011
"Hitachi, Ltd.",49,43825,0.001
"salesforce.com, inc.",45,2627,0.017
"SAP AG",45,3648,0.012
"Google LLC",44,24831,0.002
"Hewlett-Packard Development Company, L.P.",43,37773,0.001
"FUJITSU LIMITED",41,39228,0.001
"Palantir Technologies Inc.",40,899,0.044
"Apple Inc.",36,26445,0.001
"Telefonaktiebolaget LM Ericsson (Publ)",34,19732,0.002
"Island Intellectual Property, LLC",32,70,0.457
"BMC Software, Inc.",27,395,0.068
"IN&MOTION",27,4509,0.006
"ACCENTURE GLOBAL SOLUTIONS LIMITED",26,2272,0.011
"SIEMENS AKTIENGESELLSCHAFT",26,31086,0.001
"Delphix Corporation",25,35,0.714
"Allstate Insurance Company",24,652,0.037
"YAHOO HOLDINGS, INC.",24,2464,0.01
"General Electric Company",23,49684,0
"SYBASE, INC.",23,344,0.067
"Xerox Corporation",23,23495,0.001
"SONY CORPORATION",22,57152,0
"JPMORGAN CHASE BANK, N.A.",21,1083,0.019
"Dell Products L.P.",20,6891,0.003
"Intel Corporation",20,46429,0
"ServiceNow, Inc.",20,551,0.036
"Sun Microsystems Inc.",20,7630,0.003
"i2 Technologies US, Inc.",19,198,0.096
"Red Hat, Inc.",19,2439,0.008
"NCR Corporation",18,4284,0.004
"Nortel Networks S.A.",18,4161,0.004
"Sprint Communications Company L.P.",18,3700,0.005
"Teradata US, Inc.",18,511,0.035
"The Board of Trustees of the Leland Stanford Junior University",18,4226,0.004
"NEC CORPORATION",17,32150,0.001
"Nokia Technologies Oy",17,11863,0.001
"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA",17,13175,0.001
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",16,1156,0.014
"MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY",16,212,0.075
"Ricoh Company, Ltd.",15,26504,0.001
"Symantec Corporation",15,3069,0.005
"THE BOEING COMPANY",15,18957,0.001
"Alcatel Lucent",14,6284,0.002
"CAREFUSION 303, INC.",14,491,0.029
"Koninklijke Philips N.V.",14,18383,0.001
"ORACLE AMERICA, INC.",14,1921,0.007
"PalmSource Inc.",14,153,0.092
"Pivotal Software, Inc.",14,186,0.075
"Unisys Corporation",14,2431,0.006
"Bell Atlantic Network Services",13,306,0.042
"Facebook, Inc.",13,6849,0.002
"Honeywell International Inc.",13,13469,0.001
"Kayak Software Corporation",13,26,0.5
"MongoDB, Inc.",13,52,0.25
"UNITED SERVICES AUTOMOBILE ASSOCIATION (USAA)",13,1657,0.008
"UNIVERSITY OF TENNESSEE RESEARCH FOUNDATION",13,2624,0.005
"3Com Corporation",12,1516,0.008
"Canon Kabushiki Kaisha",12,80931,0
"Kabushiki Kaisha Toshiba",12,53683,0
"Motorola Solutions, Inc.",12,22101,0.001
"Oracle Systems Corporation",12,470,0.026
"REDKNEE INC.",12,61,0.197
"CADENCE DESIGN SYSTEMS, INC.",11,2248,0.005
"Capital One Services, LLC",11,2278,0.005
"Ciena Corporation",11,1499,0.007
